image,yara_detected,detected_rules,is_cryptojacking
anurag444/maven,True,Detect_TeamRedMiner,True
aofavx/centos,True,Detect_TeamRedMiner,True
aouiche2910/postgres,True,Detect_TeamRedMiner,True
apache/spark,True,Detect_TeamRedMiner,True
aparanjpe/hello-world,True,Detect_TeamRedMiner,True
apexad/centos,True,Detect_TeamRedMiner,True
aplydocker/ruby,True,Detect_TeamRedMiner,True
appster/wordpress,True,Detect_TeamRedMiner,True
aptrust/registry,True,Detect_TeamRedMiner,True
aramsimonian/mongo,True,Detect_TeamRedMiner,True
aqayyum/spark,True,Detect_TeamRedMiner,True
arc32/centos,True,Detect_TeamRedMiner,True
archmage22/centos,True,Detect_TeamRedMiner,True
ardite/wordpress,True,Detect_TeamRedMiner,True
arikerawat/postgres,True,Detect_TeamRedMiner,True
arisol/centos,True,Detect_TeamRedMiner,True
arjunsiva107/docker,True,Detect_TeamRedMiner,True
arksir/python,True,Detect_TeamRedMiner,True
arm64v8/gazebo,True,Detect_TeamRedMiner,True
armagdon/fedora,True,Detect_TeamRedMiner,True
arnatarajan85/centos,True,Detect_TeamRedMiner,True
artifacthub/postgres,True,Detect_TeamRedMiner,True
arulab/docker,True,Detect_TeamRedMiner,True
arunraineni/centos,True,Detect_TeamRedMiner,True
arunvav/httpd,True,Detect_TeamRedMiner,True
aryavamsee/nginx,True,Detect_TeamRedMiner,True
arvoredelivros/elixir,True,Detect_TeamRedMiner,True
as8592/docker,True,Detect_TeamRedMiner,True
asahicantu/centos,True,Detect_TeamRedMiner,True
asdfkco/python,True,Detect_TeamRedMiner,True
asgeorge123/centos,True,Detect_TeamRedMiner,True
asher0137/jenkins,True,Detect_TeamRedMiner,True
ashishgupta2232/node,True,Detect_TeamRedMiner,True
ashok25/centos,True,Detect_TeamRedMiner,True
ashokkr14/centos,True,Detect_TeamRedMiner,True
ashokkumardockerlab/python,True,Detect_TeamRedMiner,True
ashudoc/centos,True,Detect_TeamRedMiner,True
ashu936/tomcat,True,Detect_TeamRedMiner,True
ashwini019/postgres,True,Detect_TeamRedMiner,True
ashwin0303/nextcloud,True,Detect_TeamRedMiner,True
asmh1989/dart,True,Detect_TeamRedMiner,True
assembly0x7c00/node,True,Detect_TeamRedMiner,True
atabongfontem/centos,True,Detect_TeamRedMiner,True
atchondjo/postgres,True,Detect_TeamRedMiner,True
atifkaloodi1/centos,True,Detect_TeamRedMiner,True
atiwatpadocker/spark,True,Detect_TeamRedMiner,True
atomyd/centos,True,Detect_TeamRedMiner,True
atmd83/python,True,Detect_TeamRedMiner,True
atreo/php,True,Detect_TeamRedMiner,True
atyuha/centos,True,Detect_TeamRedMiner,True
auditorframework/php,True,Detect_TeamRedMiner,True
aukic/postgres,True,Detect_TeamRedMiner,True
aurora2/centos,True,Detect_TeamRedMiner,True
authory/postgres,True,Detect_TeamRedMiner,True
avalonjason/centos,True,Detect_TeamRedMiner,True
avalloneio/postgres,True,Detect_TeamRedMiner,True
avedn/docker,True,Detect_TeamRedMiner,True
avinashsharma1/rails,True,Detect_TeamRedMiner,True
avramushekk/wordpress,True,Detect_TeamRedMiner,True
axel9691/openjdk,True,Detect_TeamRedMiner,True
axplorerx/nginx,True,Detect_TeamRedMiner,True
ayaonaja/centos,True,Detect_TeamRedMiner,True
ayasahmi/wordpress,True,Detect_TeamRedMiner,True
ayeshatasleem1998/centos,True,Detect_TeamRedMiner,True
ayyubiid/postgres,True,Detect_TeamRedMiner,True
azizbek85/centos,True,Detect_TeamRedMiner,True
azukiyuri/centos,True,Detect_TeamRedMiner,True
aznarus/opensuse,True,Detect_TeamRedMiner,True
babatadipathri/java,True,Detect_TeamRedMiner,True
baegichan/docker,True,Detect_TeamRedMiner,True
bahaeddineksouri/phpmyadmin,True,Detect_TeamRedMiner,True
bajibabu27/docker,True,Detect_TeamRedMiner,True
balaadmin/java,True,Detect_TeamRedMiner,True
