image,yara_detected,detected_rules,is_cryptojacking
100hellos/ruby,False,,False
100hellos/rust,False,,False
100intl/spark,False,,False
100information/centos,False,,False
100intl/ubuntu,False,,False
100portals/python,False,,False
100rabhnacromancer/mongo,False,,False
100sp/rabbitmq,False,,False
1010053754/cirros,False,,False
100sp/php,False,,False
100starlings/ruby,False,,False
10101000/wordpress,False,,False
101103/docker,False,,False
10103040/docker,False,,False
10103gun/httpd,False,,False
101220/ubuntu,False,,False
1012326534/busybox,False,,False
1013/ubuntu,False,,False
1013461195/java,False,,False
1013461195/postgres,False,,False
1013596404/alpine,False,,False
1013461195/redis,False,,False
101416/httpd,False,,False
1014809521/tomcat,False,,False
1015010127/centos,False,,False
1017151478/mongo,False,,False
1016039598/tomcat,False,,False
1018808441/composer,False,,False
1018808441/mysql,False,,False
1018808441/php,False,,False
1018998632/elasticsearch,False,,False
1018998632/kibana,False,,False
1018998632/logstash,False,,False
101909/hello-world,False,,False
10191985/centos,False,,False
101passer/centos,False,,False
101shiva/httpd,False,,False
101story/ubuntu,False,,False
1020085132/tomcat,False,,False
102010cncger/centos,False,,False
102030584k/vault,False,,False
102010cncger/ubuntu,False,,False
1020472926/mariadb,False,,False
1020157229/ubuntu,False,,False
10206334/alpine,False,,False
1020636/tomcat,False,,False
102103/python,False,,False
1022134186/tomcat,False,,False
10225/zookeeper,False,,False
102296570/alpine,False,,False
102402/httpd,False,,False
102402/tomcat,False,,False
1024265676/ubuntu,False,,False
1026102055/redis,False,,False
1026908346/zookeeper,False,,False
1024hw/mysql,False,,False
10293848576/jenkins,False,,False
102manju/centos,False,,False
1029139293/php,False,,False
103026167/httpd,False,,False
1032037821/busybox,False,,False
1032380143/mongo,False,,False
103245736/nginx,False,,False
1031manideep/busybox,False,,False
1032573844/busybox,False,,False
1033808020/php,False,,False
103382/docker,False,,False
1034095114/java,False,,False
1034913380/mariadb,False,,False
1037209631/httpd,False,,False
1039315620/registry,False,,False
1034913380/tomcat,False,,False
103825/alpine,False,,False
10401/centos,False,,False
1042222/couchbase,False,,False
1042222/python,False,,False
1042916355/tomcat,False,,False
1040155/centos,False,,False
1043528155/eclipse-mosquitto,False,,False
104609/wordpress,False,,False
1044865120/httpd,False,,False
1047148799/ubuntu,False,,False
1045066986/hello-world,False,,False
1049651653/alpine,False,,False
10488927/tomcat,False,,False
10490/redis,False,,False
1049651653/centos,False,,False
104corp/openjdk,False,,False
1050320769/redis,False,,False
104corp/node,False,,False
104corp/php,False,,False
1050831/tomcat,False,,False
1051997/hello-world,False,,False
1051997/python,False,,False
1051219410/busybox,False,,False
1052494589/registry,False,,False
1052494589/centos,False,,False
1053822654/node,False,,False
1053822654/postgres,False,,False
1053825/docker,False,,False
10541027/redis,False,,False
1055135749/centos,False,,False
1054948153/ubuntu,False,,False
10552536/ubuntu,False,,False
1055503618/mysql,False,,False
105552010/mysql,False,,False
1056646612/golang,False,,False
105552010/ubuntu,False,,False
1056328304/ubuntu,False,,False
105675210/jenkins,False,,False
105675210/tomcat,False,,False
10568922/sonarqube,False,,False
1057631/docker,False,,False
1056917561/mysql,False,,False
106061/mono,False,,False
1062393482/tomcat,False,,False
1063452767/alpine,False,,False
1061919928/ubuntu,False,,False
10623/ros,False,,False
1066764501/alpine,False,,False
1063760288/ros,False,,False
1065918759/tomcat,False,,False
1067436646/cirros,False,,False
106ohm/perl,False,,False
106ohm/ubuntu,False,,False
10713919/openjdk,False,,False
1070307351/postgres,False,,False
10719632/hello-world,False,,False
1072354844/centos,False,,False
1074450309/httpd,False,,False
1075161165/mysql,False,,False
1075675018/centos,False,,False
10760534/httpd,False,,False
1076642649/busybox,False,,False
10779164/busybox,False,,False
1076208281/rabbitmq,False,,False
1078115797/registry,False,,False
10779164/centos,False,,False
1078233028/redis,False,,False
10779164/wordpress,False,,False
10810017/openjdk,False,,False
1081527/ubuntu,False,,False
1081992/tomcat,False,,False
1083kt/php,False,,False
1083298593/nextcloud,False,,False
1083298593/rabbitmq,False,,False
1083373190/tomcat,False,,False
1084186870/mysql,False,,False
1085393937/centos,False,,False
108642/redis,False,,False
1087gipson/java,False,,False
109007211myseneca/httpd,False,,False
1091847971/ubuntu,False,,False
1092237908/tomcat,False,,False
1091658551/rabbitmq,False,,False
109299/busybox,False,,False
1094927897/postgres,False,,False
1094927897/redis,False,,False
1094927897/zookeeper,False,,False
1096093035/phpmyadmin,False,,False
1098604747/redis,False,,False
10am/elasticsearch,False,,False
10decodersofficial/mysql,False,,False
10decodersofficial/php,False,,False
10eric10/wordpress,False,,False
10hammers/cassandra,False,,False
10hith/spark,False,,False
10nutz/postgres,False,,False
10liuguang01/alpine,False,,False
10sol21/maven,False,,False
10src/alpine,False,,False
10up/nginx,False,,False
10sumansahu/java,False,,False
10up/php,False,,False
10ure/postgres,False,,False
11006281/elasticsearch,False,,False
11010246/hello-world,False,,False
1101/centos,False,,False
110110xueluo/mysql,False,,False
110110xueluo/alpine,False,,False
11012641/jenkins,False,,False
110211021102/php,False,,False
1104437281/alpine,False,,False
11021996/ubuntu,False,,False
1104437281/bash,False,,False
1104437281/fedora,False,,False
1104437281/opensuse,False,,False
1105287761/centos,False,,False
1105646436/wordpress,False,,False
11081996/tomcat,False,,False
11081996/postgres,False,,False
1109065487/centos,False,,False
1108901/tomcat,False,,False
1109598149/mongo,False,,False
1109598149/mysql,False,,False
11111001111/hello-world,False,,False
111111/centos,False,,False
1111199999katekilgyan/postgres,False,,False
1109249585/redis,False,,False
1109598149/redis,False,,False
1111222222/tomcat,False,,False
111122223333/busybox,False,,False
11118812/httpd,False,,False
11118812/node,False,,False
11118897/registry,False,,False
1114788662/ubuntu,False,,False
1119264397/registry,False,,False
11162020/wordpress,False,,False
1115900992/mariadb,False,,False
1119827899/postgres,False,,False
1120182018/centos,False,,False
112244996/hello-world,False,,False
111zb/mysql,False,,False
1123581321souichirou/mysql,False,,False
1123581321souichirou/centos,False,,False
1124548048/httpd,False,,False
1124753569/centos,False,,False
112497549/php,False,,False
1124828663/python,False,,False
112611/redis,False,,False
1127129489/mongo,False,,False
1125604215/gcc,False,,False
1127748792/postgres,False,,False
11281992/django,False,,False
1129244148/ubuntu,False,,False
1134385796/httpd,False,,False
11294/mongo,False,,False
113511/django,False,,False
1136729073/hello-world,False,,False
113xiaoji/euleros,False,,False
1137177304/tomcat,False,,False
1141626906/centos,False,,False
1144276603/busybox,False,,False
1142709658/java,False,,False
1147832740/php,False,,False
11494/redis,False,,False
11480778/django,False,,False
